name,version,packagePath,dependencyType,scope,licenseSource,hasLicense,licenseIsComplex,needsManualReview,issues,licenseRaw
scheduler,0.27.0,node_modules/scheduler,direct,unknown,license,true,false,false,,MIT
semver,6.3.1,node_modules/semver,direct,dev,license,true,false,false,,ISC
source-map-js,1.2.1,node_modules/source-map-js,direct,dev,license,true,false,false,,BSD-3-Clause
supabase,2.109.1,node_modules/supabase,direct,dev,license,true,false,false,,MIT
symbol-tree,3.2.4,node_modules/symbol-tree,direct,dev,license,true,false,false,,MIT
tinyglobby,0.2.17,node_modules/tinyglobby,direct,dev,license,true,false,false,,MIT
tldts,6.1.86,node_modules/tldts,direct,dev,license,true,false,false,,MIT
tldts-core,6.1.86,node_modules/tldts-core,direct,dev,license,true,false,false,,MIT
to-regex-range,5.0.1,node_modules/to-regex-range,direct,dev,license,true,false,false,,MIT
tough-cookie,5.1.2,node_modules/tough-cookie,direct,dev,license,true,false,false,,BSD-3-Clause
tr46,5.1.1,node_modules/tr46,direct,dev,license,true,false,false,,MIT
tslib,2.8.1,node_modules/tslib,direct,dev,license,true,false,false,,0BSD
update-browserslist-db,1.2.3,node_modules/update-browserslist-db,direct,dev,license,true,false,false,,MIT
vite,6.4.3,node_modules/vite,direct,dev,license,true,false,false,,MIT
vite-plugin-singlefile,2.3.3,node_modules/vite-plugin-singlefile,direct,dev,license,true,false,false,,MIT
w3c-xmlserializer,5.0.0,node_modules/w3c-xmlserializer,direct,dev,license,true,false,false,,MIT
webidl-conversions,7.0.0,node_modules/webidl-conversions,direct,dev,license,true,false,false,,BSD-2-Clause
whatwg-encoding,3.1.1,node_modules/whatwg-encoding,direct,dev,license,true,false,false,,MIT
whatwg-mimetype,4.0.0,node_modules/whatwg-mimetype,direct,dev,license,true,false,false,,MIT
whatwg-url,14.2.0,node_modules/whatwg-url,direct,dev,license,true,false,false,,MIT
ws,8.21.1,node_modules/ws,direct,dev,license,true,false,false,,MIT
xml-name-validator,5.0.0,node_modules/xml-name-validator,direct,dev,license,true,false,false,,Apache-2.0
xmlchars,2.2.0,node_modules/xmlchars,direct,dev,license,true,false,false,,MIT
yallist,3.1.1,node_modules/yallist,direct,dev,license,true,false,false,,ISC
